""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"SARM1"	"gene expression"	"up"	"TIV-specific T cell responders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"3"	"357"	"SARM1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_357.txt"	"hipciof_gene_complete_30843873_357.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"CXCR4"	"gene expression"	"up"	"TIV-specific T cell nonresponders"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"4"	"358"	"CXCR4"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_358.txt"	"hipciof_gene_complete_30843873_358.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"STAT1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"STAT1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"IRF7"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"IRF7"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"FCGR1A"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"FCGR1A"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"GBP1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"GBP1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"GBP5"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"GBP5"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"IDO1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"IDO1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"IFI35"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"IFI35"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"IFI6"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"IFI6"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"IFIT3"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"IFIT3"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"IRF9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"IRF9"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"ISG15"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"ISG15"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"OAS1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"OAS1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"OAS3"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"OAS3"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"PARP9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"PARP9"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"PSEN2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"PSEN2"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"PSMB8"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"PSMB8"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"PSMB9"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"PSMB9"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"PSME2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"PSME2"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"RIPK2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"RIPK2"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"RTP4"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"RTP4"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"SAMD9L"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"SAMD9L"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"SERPING1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"SERPING1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"STAT2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"STAT2"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"TAP2"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"TAP2"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"WARS"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"WARS"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"ZBP1"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"ZBP1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"APOBEC3G"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"APOBEC3G"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
""	"20200421-hipciof_gene_30843873"	"2020.04.21"	"hipciof_gene_42"	"whole blood"	"C1QB"	"gene expression"	"up"	"cluster 1"	"1"	"day"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"5"	"359"	"C1QB"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Wisconsin/01/2010)"	"hipciof_gene_30843873_359.txt"	"hipciof_gene_complete_30843873_359.txt"
