""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"RNF165"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"RNF165"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"PRSS23"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"PRSS23"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"PDGFD"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"PDGFD"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"RASGEF1A"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"RASGEF1A"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"COLQ"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"COLQ"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"IL2RB"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"IL2RB"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"KLRB1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"KLRB1"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"GNLY"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"GNLY"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"CCL5"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"CCL5"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"PRF1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"PRF1"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"TGFBR3"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"TGFBR3"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"PHLDB2"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"PHLDB2"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"IGFBP3"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"IGFBP3"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"FCRL6"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"FCRL6"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"KLRF1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"KLRF1"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"AGAP1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"AGAP1"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"CD247"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"CD247"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"SLC4A4"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"SLC4A4"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"YPEL1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"YPEL1"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"SYNE1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"SYNE1"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"FGFBP2"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"FGFBP2"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"HOPX"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"HOPX"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"NCR1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"NCR1"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"SH2D1B"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"SH2D1B"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"ATP2B4"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"ATP2B4"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"CST7"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"CST7"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"PRR5L"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"PRR5L"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"MCTP2"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"MCTP2"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"KIR3DL1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"KIR3DL1"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"FRMPD3"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"FRMPD3"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"SIGLEC17P"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"SIGLEC17P"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"NMUR1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"NMUR1"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"GZMB"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"GZMB"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"NKG7"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"170"	"NKG7"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
